 Lambda= 9000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.4942D-03  0.6462D-07
  2.00  3.00  0.2269D-03  0.4824D-07
  3.00  4.00  0.1192D-03  0.2315D-07
  4.00  5.00  0.6642D-04  0.1334D-07
  5.00  6.00  0.3722D-04  0.9742D-08
  6.00  7.00  0.1970D-04  0.4307D-08
  7.00  8.00  0.8574D-05  0.3731D-08
  8.00  9.00  0.1225D-05  0.4114D-08
  9.00 10.00 -0.3783D-05  0.3737D-08
 10.00 12.00 -0.1701D-04  0.7809D-08
 12.00 14.00 -0.2427D-04  0.5964D-08
 14.00 16.00 -0.2797D-04  0.9189D-08
