 Lambda=10000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1734D-03  0.5092D-06
  2.00  3.00  0.7851D-04  0.3151D-06
  3.00  4.00  0.4102D-04  0.1903D-06
  4.00  5.00  0.2326D-04  0.1171D-06
  5.00  6.00  0.1376D-04  0.7972D-07
  6.00  7.00  0.8293D-05  0.6233D-07
  7.00  8.00  0.4855D-05  0.5594D-07
  8.00  9.00  0.2728D-05  0.5919D-07
  9.00 10.00  0.1341D-05  0.6772D-07
 10.00 12.00  0.9328D-07  0.1192D-06
 12.00 14.00 -0.1740D-05  0.1437D-06
 14.00 16.00 -0.2363D-05  0.1638D-06
