 Lambda=11000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.3235D-03  0.4351D-07
  2.00  3.00  0.8807D-04  0.2216D-07
  3.00  4.00 -0.6086D-05  0.1574D-07
  4.00  5.00 -0.4796D-04  0.1275D-07
  5.00  6.00 -0.6783D-04  0.1721D-07
  6.00  7.00 -0.7732D-04  0.1495D-07
  7.00  8.00 -0.8149D-04  0.2185D-07
  8.00  9.00 -0.8289D-04  0.1893D-07
  9.00 10.00 -0.8266D-04  0.1918D-07
 10.00 12.00 -0.1615D-03  0.2263D-07
 12.00 14.00 -0.1543D-03  0.4415D-07
 14.00 16.00 -0.1463D-03  0.3014D-07
