 Lambda=10000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.4141D-03  0.1529D-05
  2.00  3.00  0.1674D-03  0.9641D-06
  3.00  4.00  0.7226D-04  0.4939D-06
  4.00  5.00  0.2862D-04  0.3155D-06
  5.00  6.00  0.6609D-05  0.2691D-06
  6.00  7.00 -0.5418D-05  0.3147D-06
  7.00  8.00 -0.1153D-04  0.3876D-06
  8.00  9.00 -0.1503D-04  0.4445D-06
  9.00 10.00 -0.1709D-04  0.5103D-06
 10.00 12.00 -0.3693D-04  0.8161D-06
 12.00 14.00 -0.3649D-04  0.9362D-06
 14.00 16.00 -0.3449D-04  0.1008D-05
