 Lambda= 5000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.9125D-02  0.1278D-05
  2.00  3.00  0.4758D-02  0.7027D-06
  3.00  4.00  0.2996D-02  0.6011D-06
  4.00  5.00  0.2092D-02  0.4132D-06
  5.00  6.00  0.1562D-02  0.3763D-06
  6.00  7.00  0.1221D-02  0.3173D-06
  7.00  8.00  0.9883D-03  0.1902D-06
  8.00  9.00  0.8213D-03  0.2536D-06
  9.00 10.00  0.6968D-03  0.1535D-06
 10.00 12.00  0.1127D-02  0.2725D-06
 12.00 14.00  0.8822D-03  0.3079D-06
 14.00 16.00  0.7168D-03  0.1757D-06
