 Lambda= 5000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2332D-01  0.2136D-05
  2.00  3.00  0.1155D-01  0.1483D-05
  3.00  4.00  0.6808D-02  0.1258D-05
  4.00  5.00  0.4425D-02  0.1007D-05
  5.00  6.00  0.3061D-02  0.5641D-06
  6.00  7.00  0.2210D-02  0.4625D-06
  7.00  8.00  0.1645D-02  0.3024D-06
  8.00  9.00  0.1253D-02  0.2277D-06
  9.00 10.00  0.9703D-03  0.1976D-06
 10.00 12.00  0.1361D-02  0.3300D-06
 12.00 14.00  0.8557D-03  0.1798D-06
 14.00 16.00  0.5385D-03  0.1549D-06
