 Lambda=13000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.8223D-03  0.2041D-05
  2.00  3.00  0.4392D-03  0.1620D-05
  3.00  4.00  0.2830D-03  0.1337D-05
  4.00  5.00  0.2014D-03  0.1158D-05
  5.00  6.00  0.1533D-03  0.1071D-05
  6.00  7.00  0.1213D-03  0.9920D-06
  7.00  8.00  0.9873D-04  0.9219D-06
  8.00  9.00  0.8297D-04  0.8926D-06
  9.00 10.00  0.7076D-04  0.8597D-06
 10.00 12.00  0.1150D-03  0.1188D-05
 12.00 14.00  0.9010D-04  0.1118D-05
 14.00 16.00  0.7182D-04  0.1080D-05
