 Lambda=13000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.3167D-03  0.4087D-07
  2.00  3.00  0.1748D-03  0.2553D-07
  3.00  4.00  0.1174D-03  0.2110D-07
  4.00  5.00  0.8724D-04  0.1911D-07
  5.00  6.00  0.6899D-04  0.1464D-07
  6.00  7.00  0.5689D-04  0.1131D-07
  7.00  8.00  0.4834D-04  0.1362D-07
  8.00  9.00  0.4200D-04  0.7839D-08
  9.00 10.00  0.3714D-04  0.7194D-08
 10.00 12.00  0.6349D-04  0.1322D-07
 12.00 14.00  0.5312D-04  0.1747D-07
 14.00 16.00  0.4575D-04  0.1035D-07
