#
#  CIJET_MassBin-3000-3600_cteq66_13000_V-A+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  13000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      8.02463e-04      7.47329e-07        0.093      16
   2.0        3.0      4.67439e-04      6.87554e-07        0.147      36
   3.0        4.0      3.16830e-04      7.74761e-07        0.245      43
   4.0        5.0      2.28933e-04      6.16933e-07        0.269      12
   5.0        6.0      1.72469e-04      6.79932e-07        0.394      13
   6.0        7.0      1.34508e-04      6.51232e-07        0.484      13
   7.0        8.0      1.07085e-04      1.00734e-06        0.941      13
   8.0        9.0      8.69246e-05      1.09332e-06        1.258      13
   9.0       10.0      7.20185e-05      7.54065e-07        1.047      13
  10.0       12.0      5.51538e-05      5.72808e-07        1.039      13
  12.0       14.0      4.01327e-05      3.59616e-07        0.896      13
  14.0       16.0      3.00612e-05      1.05356e-06        3.505      13
