 Lambda=11000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.3632D-03  0.8151D-06
  2.00  3.00  0.1904D-03  0.6250D-06
  3.00  4.00  0.1205D-03  0.5014D-06
  4.00  5.00  0.8428D-04  0.4211D-06
  5.00  6.00  0.6297D-04  0.3731D-06
  6.00  7.00  0.4909D-04  0.3381D-06
  7.00  8.00  0.3961D-04  0.3165D-06
  8.00  9.00  0.3273D-04  0.3006D-06
  9.00 10.00  0.2744D-04  0.2828D-06
 10.00 12.00  0.4399D-04  0.3834D-06
 12.00 14.00  0.3371D-04  0.3573D-06
 14.00 16.00  0.2654D-04  0.3394D-06
