 Lambda=12000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.4705D-04  0.4244D-06
  2.00  3.00 -0.4390D-05  0.2187D-06
  3.00  4.00 -0.2292D-04  0.1847D-06
  4.00  5.00 -0.2901D-04  0.2410D-06
  5.00  6.00 -0.3034D-04  0.3145D-06
  6.00  7.00 -0.2985D-04  0.3574D-06
  7.00  8.00 -0.2827D-04  0.4011D-06
  8.00  9.00 -0.2655D-04  0.4372D-06
  9.00 10.00 -0.2466D-04  0.4734D-06
 10.00 12.00 -0.4600D-04  0.7161D-06
 12.00 14.00 -0.3970D-04  0.7578D-06
 14.00 16.00 -0.3575D-04  0.8024D-06
