 Lambda=14000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1687D-03  0.3653D-06
  2.00  3.00  0.8955D-04  0.2885D-06
  3.00  4.00  0.5729D-04  0.2377D-06
  4.00  5.00  0.4058D-04  0.2083D-06
  5.00  6.00  0.3069D-04  0.1865D-06
  6.00  7.00  0.2417D-04  0.1725D-06
  7.00  8.00  0.1962D-04  0.1624D-06
  8.00  9.00  0.1635D-04  0.1549D-06
  9.00 10.00  0.1373D-04  0.1465D-06
 10.00 12.00  0.2223D-04  0.2099D-06
 12.00 14.00  0.1714D-04  0.1937D-06
 14.00 16.00  0.1366D-04  0.1884D-06
