 Lambda=12000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.4910D-04  0.1736D-06
  2.00  3.00  0.1856D-04  0.9882D-07
  3.00  4.00  0.6839D-05  0.5201D-07
  4.00  5.00  0.1676D-05  0.3709D-07
  5.00  6.00 -0.8422D-06  0.3943D-07
  6.00  7.00 -0.2071D-05  0.4851D-07
  7.00  8.00 -0.2633D-05  0.5783D-07
  8.00  9.00 -0.2993D-05  0.6675D-07
  9.00 10.00 -0.3036D-05  0.7347D-07
 10.00 12.00 -0.6097D-05  0.1196D-06
 12.00 14.00 -0.5754D-05  0.1304D-06
 14.00 16.00 -0.5124D-05  0.1425D-06
