#
#  CIJET_MassBin-3000-3600_cteq66_15000_LL+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  15000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0     -6.32331e-04      1.18024e-06        0.187      16
   2.0        3.0     -3.81797e-04      1.33855e-06        0.351      36
   3.0        4.0     -2.74623e-04      1.38286e-06        0.504      43
   4.0        5.0     -2.12458e-04      1.15637e-06        0.544      12
   5.0        6.0     -1.70854e-04      9.20702e-07        0.539      13
   6.0        7.0     -1.41154e-04      1.20942e-06        0.857      13
   7.0        8.0     -1.18300e-04      1.00167e-06        0.847      13
   8.0        9.0     -1.01306e-04      1.09725e-06        1.083      13
   9.0       10.0     -8.80869e-05      8.20857e-07        0.932      13
  10.0       12.0     -7.12423e-05      5.87667e-07        0.825      13
  12.0       14.0     -5.52846e-05      6.27291e-07        1.135      13
  14.0       16.0     -4.40273e-05      6.26926e-07        1.424      13
