 Lambda=13000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00 -0.2811D-04  0.2020D-06
  2.00  3.00 -0.3803D-04  0.1566D-06
  3.00  4.00 -0.4030D-04  0.2025D-06
  4.00  5.00 -0.3858D-04  0.2617D-06
  5.00  6.00 -0.3585D-04  0.3160D-06
  6.00  7.00 -0.3275D-04  0.3506D-06
  7.00  8.00 -0.2983D-04  0.3815D-06
  8.00  9.00 -0.2771D-04  0.4135D-06
  9.00 10.00 -0.2501D-04  0.4260D-06
 10.00 12.00 -0.4471D-04  0.6515D-06
 12.00 14.00 -0.3849D-04  0.6863D-06
 14.00 16.00 -0.3254D-04  0.7246D-06
