 Lambda= 9000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2646D-02  0.6851D-05
  2.00  3.00  0.1387D-02  0.5156D-05
  3.00  4.00  0.8764D-03  0.4123D-05
  4.00  5.00  0.6132D-03  0.3473D-05
  5.00  6.00  0.4581D-03  0.3067D-05
  6.00  7.00  0.3560D-03  0.2762D-05
  7.00  8.00  0.2869D-03  0.2568D-05
  8.00  9.00  0.2355D-03  0.2431D-05
  9.00 10.00  0.1994D-03  0.2322D-05
 10.00 12.00  0.3221D-03  0.3158D-05
 12.00 14.00  0.2468D-03  0.2906D-05
 14.00 16.00  0.1983D-03  0.2736D-05
