#
#  CIJET_MassBin-4200-8000_CT10nlo_8000_AA-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   8000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.58300e-03      2.43900e-06        0.094      40
   2.0        3.0      1.36974e-03      1.27416e-06        0.093      43
   3.0        4.0      8.70214e-04      1.07539e-06        0.124      43
   4.0        5.0      6.08863e-04      7.04957e-07        0.116       8
   5.0        6.0      4.51408e-04      7.08979e-07        0.157      12
   6.0        7.0      3.50200e-04      5.49242e-07        0.157      13
   7.0        8.0      2.80046e-04      3.86470e-07        0.138      13
   8.0        9.0      2.29131e-04      4.32791e-07        0.189      13
   9.0       10.0      1.91192e-04      4.60155e-07        0.241      12
  10.0       12.0      1.50838e-04      3.34884e-07        0.222      13
  12.0       14.0      1.13427e-04      2.45472e-07        0.216      13
  14.0       16.0      8.83923e-05      2.94990e-07        0.334      13
