 Lambda= 7000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.6307D-02  0.1643D-04
  2.00  3.00  0.3269D-02  0.1235D-04
  3.00  4.00  0.2041D-02  0.9624D-05
  4.00  5.00  0.1408D-02  0.8028D-05
  5.00  6.00  0.1046D-02  0.6813D-05
  6.00  7.00  0.8054D-03  0.6115D-05
  7.00  8.00  0.6389D-03  0.5563D-05
  8.00  9.00  0.5316D-03  0.5242D-05
  9.00 10.00  0.4434D-03  0.4843D-05
 10.00 12.00  0.6973D-03  0.6476D-05
 12.00 14.00  0.5371D-03  0.5923D-05
 14.00 16.00  0.4224D-03  0.5457D-05
