#
#  CIJET_MassBin-3000-3600_CT10nlo_9000_V-A-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   9000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000  -2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.92038e-03      2.47319e-06        0.063      16
   2.0        3.0      2.25986e-03      2.68491e-06        0.119      36
   3.0        4.0      1.52993e-03      2.61311e-06        0.171      43
   4.0        5.0      1.11333e-03      1.61433e-06        0.145      12
   5.0        6.0      8.49577e-04      1.52815e-06        0.180      13
   6.0        7.0      6.69638e-04      2.00439e-06        0.299      13
   7.0        8.0      5.43077e-04      1.96518e-06        0.362      13
   8.0        9.0      4.48954e-04      1.40690e-06        0.313      13
   9.0       10.0      3.77392e-04      1.76043e-06        0.466      13
  10.0       12.0      3.01646e-04      1.37120e-06        0.455      13
  12.0       14.0      2.29569e-04      6.75629e-07        0.294      13
  14.0       16.0      1.80665e-04      2.09696e-06        1.161      13
