 Lambda=14000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2518D-03  0.3353D-07
  2.00  3.00  0.1398D-03  0.2050D-07
  3.00  4.00  0.9451D-04  0.1769D-07
  4.00  5.00  0.7065D-04  0.1444D-07
  5.00  6.00  0.5615D-04  0.1306D-07
  6.00  7.00  0.4650D-04  0.9441D-08
  7.00  8.00  0.3966D-04  0.9274D-08
  8.00  9.00  0.3458D-04  0.6195D-08
  9.00 10.00  0.3067D-04  0.5867D-08
 10.00 12.00  0.5262D-04  0.1103D-07
 12.00 14.00  0.4420D-04  0.1407D-07
 14.00 16.00  0.3820D-04  0.8244D-08
