#
#  CIJET_MassBin-3000-3600_CT10nlo_9000_LL-.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=   9000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000   0.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      9.47113e-03      6.77126e-06        0.071      16
   2.0        3.0      4.97003e-03      5.74449e-06        0.116      36
   3.0        4.0      3.13891e-03      4.52408e-06        0.144      43
   4.0        5.0      2.19317e-03      3.95045e-06        0.180      12
   5.0        6.0      1.62969e-03      2.46254e-06        0.151      13
   6.0        7.0      1.26485e-03      4.48788e-06        0.355      13
   7.0        8.0      1.01315e-03      3.73823e-06        0.369      13
   8.0        9.0      8.32446e-04      3.08724e-06        0.371      13
   9.0       10.0      6.98892e-04      2.43805e-06        0.349      13
  10.0       12.0      5.50769e-04      2.02706e-06        0.368      13
  12.0       14.0      4.15554e-04      1.77417e-06        0.427      13
  14.0       16.0      3.24869e-04      2.05503e-06        0.633      13
