#
#  CIJET_MassBin-3000-3600_cteq66_6000_RR+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   6000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      2.00444e-02      1.96532e-05        0.098      16
   2.0        3.0      9.66656e-03      2.09482e-05        0.217      36
   3.0        4.0      5.52244e-03      1.77151e-05        0.321      43
   4.0        5.0      3.49175e-03      1.18791e-05        0.340      12
   5.0        6.0      2.35562e-03      1.22307e-05        0.519      13
   6.0        7.0      1.66477e-03      1.18121e-05        0.710      13
   7.0        8.0      1.22662e-03      7.13604e-06        0.582      13
   8.0        9.0      9.22600e-04      8.65342e-06        0.938      13
   9.0       10.0      7.09731e-04      8.08078e-06        1.139      13
  10.0       12.0      5.08038e-04      3.82133e-06        0.752      13
  12.0       14.0      3.35427e-04      5.09434e-06        1.519      13
  14.0       16.0      2.30381e-04      4.48741e-06        1.948      13
