 Lambda= 6000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.6857D-02  0.1979D-04
  2.00  3.00  0.3342D-02  0.1383D-04
  3.00  4.00  0.1939D-02  0.9629D-05
  4.00  5.00  0.1244D-02  0.7125D-05
  5.00  6.00  0.8542D-03  0.5150D-05
  6.00  7.00  0.6141D-03  0.3962D-05
  7.00  8.00  0.4551D-03  0.3054D-05
  8.00  9.00  0.3492D-03  0.2404D-05
  9.00 10.00  0.2736D-03  0.1977D-05
 10.00 12.00  0.3938D-03  0.2209D-05
 12.00 14.00  0.2611D-03  0.1720D-05
 14.00 16.00  0.1802D-03  0.1466D-05
