 Lambda= 7000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1752D-02  0.4026D-05
  2.00  3.00  0.9015D-03  0.3081D-05
  3.00  4.00  0.5595D-03  0.2353D-05
  4.00  5.00  0.3835D-03  0.1923D-05
  5.00  6.00  0.2816D-03  0.1625D-05
  6.00  7.00  0.2159D-03  0.1462D-05
  7.00  8.00  0.1717D-03  0.1291D-05
  8.00  9.00  0.1400D-03  0.1191D-05
  9.00 10.00  0.1168D-03  0.1104D-05
 10.00 12.00  0.1834D-03  0.1455D-05
 12.00 14.00  0.1388D-03  0.1328D-05
 14.00 16.00  0.1078D-03  0.1202D-05
