 Lambda=13000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.4199D-04  0.6903D-08
  2.00  3.00  0.8928D-05  0.3988D-08
  3.00  4.00 -0.4305D-05  0.3033D-08
  4.00  5.00 -0.1008D-04  0.2638D-08
  5.00  6.00 -0.1273D-04  0.3094D-08
  6.00  7.00 -0.1391D-04  0.2741D-08
  7.00  8.00 -0.1435D-04  0.3303D-08
  8.00  9.00 -0.1440D-04  0.3594D-08
  9.00 10.00 -0.1425D-04  0.3874D-08
 10.00 12.00 -0.2764D-04  0.7057D-08
 12.00 14.00 -0.2623D-04  0.6538D-08
 14.00 16.00 -0.2479D-04  0.6341D-08
