 Lambda=12000 GeV
 mass=[ 3000.00, 3600.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.5780D-02  0.7194D-06
  2.00  3.00  0.3237D-02  0.5749D-06
  3.00  4.00  0.2207D-02  0.3754D-06
  4.00  5.00  0.1661D-02  0.2924D-06
  5.00  6.00  0.1327D-02  0.2433D-06
  6.00  7.00  0.1104D-02  0.2317D-06
  7.00  8.00  0.9452D-03  0.3041D-06
  8.00  9.00  0.8251D-03  0.1675D-06
  9.00 10.00  0.7350D-03  0.1898D-06
 10.00 12.00  0.1263D-02  0.2966D-06
 12.00 14.00  0.1065D-02  0.2606D-06
 14.00 16.00  0.9226D-03  0.2162D-06
