#
#  CIJET_MassBin-3000-3600_cteq6ll_10000_AA+.xsc
#
#  cteq6ll.LHpdf   LO
#  Lambda=  10000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000  -2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      5.34800e-03      2.63312e-06        0.049      16
   2.0        3.0      2.08908e-03      2.79157e-06        0.134      36
   3.0        4.0      7.44026e-04      2.45629e-06        0.330      43
   4.0        5.0      9.54375e-05      9.42223e-07        0.987      12
   5.0        6.0     -2.48962e-04      1.13103e-06        0.454      13
   6.0        7.0     -4.41415e-04      2.30465e-06        0.522      13
   7.0        8.0     -5.51708e-04      1.34193e-06        0.243      13
   8.0        9.0     -6.16385e-04      1.36860e-06        0.222      13
   9.0       10.0     -6.51669e-04      1.33877e-06        0.205      13
  10.0       12.0     -6.72731e-04      1.14774e-06        0.171      13
  12.0       14.0     -6.73192e-04      1.01116e-06        0.150      13
  14.0       16.0     -6.57385e-04      1.24422e-06        0.189      13
