 Lambda=12000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2737D-03  0.6007D-06
  2.00  3.00  0.1441D-03  0.4741D-06
  3.00  4.00  0.9138D-04  0.3841D-06
  4.00  5.00  0.6432D-04  0.3262D-06
  5.00  6.00  0.4824D-04  0.2862D-06
  6.00  7.00  0.3770D-04  0.2640D-06
  7.00  8.00  0.3050D-04  0.2540D-06
  8.00  9.00  0.2517D-04  0.2411D-06
  9.00 10.00  0.2135D-04  0.2203D-06
 10.00 12.00  0.3423D-04  0.3029D-06
 12.00 14.00  0.2626D-04  0.2858D-06
 14.00 16.00  0.2075D-04  0.2776D-06
