 Lambda= 7000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1660D-02  0.2222D-06
  2.00  3.00  0.8067D-03  0.1213D-06
  3.00  4.00  0.4628D-03  0.7636D-07
  4.00  5.00  0.2911D-03  0.7633D-07
  5.00  6.00  0.1937D-03  0.3424D-07
  6.00  7.00  0.1335D-03  0.2975D-07
  7.00  8.00  0.9403D-04  0.2388D-07
  8.00  9.00  0.6687D-04  0.1420D-07
  9.00 10.00  0.4754D-04  0.9620D-08
 10.00 12.00  0.5613D-04  0.8571D-08
 12.00 14.00  0.2305D-04  0.7447D-08
 14.00 16.00  0.3009D-05  0.8322D-08
