 Lambda= 9000 GeV
 mass=[ 3000.00, 3600.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1399D-01  0.1706D-05
  2.00  3.00  0.7654D-02  0.1013D-05
  3.00  4.00  0.5090D-02  0.7747D-06
  4.00  5.00  0.3747D-02  0.5923D-06
  5.00  6.00  0.2937D-02  0.5486D-06
  6.00  7.00  0.2403D-02  0.4491D-06
  7.00  8.00  0.2028D-02  0.4463D-06
  8.00  9.00  0.1751D-02  0.2868D-06
  9.00 10.00  0.1539D-02  0.2309D-06
 10.00 12.00  0.2611D-02  0.7287D-06
 12.00 14.00  0.2165D-02  0.3995D-06
 14.00 16.00  0.1851D-02  0.3111D-06
