 Lambda=11000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2018D-02  0.2433D-06
  2.00  3.00  0.1109D-02  0.1625D-06
  3.00  4.00  0.7419D-03  0.1508D-06
  4.00  5.00  0.5490D-03  0.8428D-07
  5.00  6.00  0.4326D-03  0.5765D-07
  6.00  7.00  0.3555D-03  0.4689D-07
  7.00  8.00  0.3011D-03  0.5234D-07
  8.00  9.00  0.2608D-03  0.4970D-07
  9.00 10.00  0.2302D-03  0.3869D-07
 10.00 12.00  0.3922D-03  0.4632D-07
 12.00 14.00  0.3268D-03  0.7796D-07
 14.00 16.00  0.2805D-03  0.5446D-07
