 Lambda=10000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.4992D-03  0.1133D-05
  2.00  3.00  0.2603D-03  0.8653D-06
  3.00  4.00  0.1641D-03  0.6897D-06
  4.00  5.00  0.1143D-03  0.5791D-06
  5.00  6.00  0.8491D-04  0.5122D-06
  6.00  7.00  0.6613D-04  0.4483D-06
  7.00  8.00  0.5322D-04  0.4205D-06
  8.00  9.00  0.4364D-04  0.3923D-06
  9.00 10.00  0.3671D-04  0.3746D-06
 10.00 12.00  0.5854D-04  0.4996D-06
 12.00 14.00  0.4478D-04  0.4699D-06
 14.00 16.00  0.3523D-04  0.4371D-06
