#
#  cidijet_DijetChi_CILHC_2012_Lambda-10000._MassBin-4200.-8000._Order-0_xmu-1._0027.dat
#
#  Lambda=10000 GeV   cteq6ll   LO
#  mass=[ 4200.00, 8000.00 ] GeV
#   chid  chiu  xsec(pb)    error(pb)
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      7.44400e-04      9.57700e-08        0.013       1
   2.0        3.0      4.02500e-04      5.80800e-08        0.014       1
   3.0        4.0      2.64400e-04      5.66200e-08        0.021       1
   4.0        5.0      1.92400e-04      2.93300e-08        0.015       1
   5.0        6.0      1.49400e-04      3.29000e-08        0.022       1
   6.0        7.0      1.21200e-04      2.37900e-08        0.020       1
   7.0        8.0      1.01500e-04      2.46100e-08        0.024       1
   8.0        9.0      8.70800e-05      1.56800e-08        0.018       1
   9.0       10.0      7.60700e-05      1.65000e-08        0.022       1
  10.0       12.0      6.41000e-05      1.56750e-08        0.024       1
  12.0       14.0      5.27000e-05      1.61800e-08        0.031       1
  14.0       16.0      4.47700e-05      1.07200e-08        0.024       1
