 Lambda=11000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.9504D-04  0.2947D-06
  2.00  3.00  0.4055D-04  0.1798D-06
  3.00  4.00  0.1929D-04  0.9877D-07
  4.00  5.00  0.9404D-05  0.6068D-07
  5.00  6.00  0.4333D-05  0.4606D-07
  6.00  7.00  0.1499D-05  0.4605D-07
  7.00  8.00 -0.9841D-07  0.5294D-07
  8.00  9.00 -0.1030D-05  0.6342D-07
  9.00 10.00 -0.1594D-05  0.7351D-07
 10.00 12.00 -0.3969D-05  0.1216D-06
 12.00 14.00 -0.4451D-05  0.1409D-06
 14.00 16.00 -0.4396D-05  0.1536D-06
