 Lambda= 5000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.4821D-02  0.1206D-04
  2.00  3.00  0.2391D-02  0.8516D-05
  3.00  4.00  0.1417D-02  0.6102D-05
  4.00  5.00  0.9327D-03  0.4504D-05
  5.00  6.00  0.6606D-03  0.3597D-05
  6.00  7.00  0.4887D-03  0.2884D-05
  7.00  8.00  0.3736D-03  0.2429D-05
  8.00  9.00  0.2955D-03  0.2018D-05
  9.00 10.00  0.2410D-03  0.1679D-05
 10.00 12.00  0.3598D-03  0.1906D-05
 12.00 14.00  0.2572D-03  0.1414D-05
 14.00 16.00  0.1924D-03  0.1079D-05
