 Lambda=15000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2044D-03  0.2802D-07
  2.00  3.00  0.1141D-03  0.1695D-07
  3.00  4.00  0.7761D-04  0.1298D-07
  4.00  5.00  0.5832D-04  0.1229D-07
  5.00  6.00  0.4656D-04  0.1039D-07
  6.00  7.00  0.3871D-04  0.7429D-08
  7.00  8.00  0.3313D-04  0.6870D-08
  8.00  9.00  0.2897D-04  0.5899D-08
  9.00 10.00  0.2576D-04  0.4955D-08
 10.00 12.00  0.4434D-04  0.8675D-08
 12.00 14.00  0.3738D-04  0.9776D-08
 14.00 16.00  0.3240D-04  0.8038D-08
