 Lambda= 7000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.3290D-02  0.9720D-05
  2.00  3.00  0.1576D-02  0.6698D-05
  3.00  4.00  0.8921D-03  0.4453D-05
  4.00  5.00  0.5589D-03  0.3113D-05
  5.00  6.00  0.3707D-03  0.2181D-05
  6.00  7.00  0.2583D-03  0.1594D-05
  7.00  8.00  0.1853D-03  0.1257D-05
  8.00  9.00  0.1373D-03  0.9858D-06
  9.00 10.00  0.1026D-03  0.8269D-06
 10.00 12.00  0.1374D-03  0.1026D-05
 12.00 14.00  0.8013D-04  0.9369D-06
 14.00 16.00  0.4970D-04  0.1068D-05
