 Lambda=12000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1539D-02  0.1858D-06
  2.00  3.00  0.8518D-03  0.1223D-06
  3.00  4.00  0.5740D-03  0.1141D-06
  4.00  5.00  0.4276D-03  0.7719D-07
  5.00  6.00  0.3390D-03  0.4844D-07
  6.00  7.00  0.2800D-03  0.3590D-07
  7.00  8.00  0.2383D-03  0.5152D-07
  8.00  9.00  0.2072D-03  0.4025D-07
  9.00 10.00  0.1835D-03  0.3143D-07
 10.00 12.00  0.3141D-03  0.4667D-07
 12.00 14.00  0.2630D-03  0.7018D-07
 14.00 16.00  0.2267D-03  0.4077D-07
