 Lambda=15000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.5408D-03  0.1318D-05
  2.00  3.00  0.2905D-03  0.1044D-05
  3.00  4.00  0.1890D-03  0.8786D-06
  4.00  5.00  0.1351D-03  0.7767D-06
  5.00  6.00  0.1035D-03  0.7241D-06
  6.00  7.00  0.8212D-04  0.6784D-06
  7.00  8.00  0.6754D-04  0.6451D-06
  8.00  9.00  0.5607D-04  0.6170D-06
  9.00 10.00  0.4793D-04  0.5959D-06
 10.00 12.00  0.7872D-04  0.8406D-06
 12.00 14.00  0.6161D-04  0.7933D-06
 14.00 16.00  0.5034D-04  0.7700D-06
