 Lambda=14000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1490D-04  0.4995D-08
  2.00  3.00 -0.3213D-05  0.3788D-08
  3.00  4.00 -0.1043D-04  0.2423D-08
  4.00  5.00 -0.1327D-04  0.2958D-08
  5.00  6.00 -0.1431D-04  0.3401D-08
  6.00  7.00 -0.1454D-04  0.2563D-08
  7.00  8.00 -0.1439D-04  0.3457D-08
  8.00  9.00 -0.1406D-04  0.2921D-08
  9.00 10.00 -0.1364D-04  0.4367D-08
 10.00 12.00 -0.2594D-04  0.4012D-08
 12.00 14.00 -0.2421D-04  0.6613D-08
 14.00 16.00 -0.2262D-04  0.5978D-08
