 Lambda= 9000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1067D-02  0.1359D-06
  2.00  3.00  0.5729D-03  0.8223D-07
  3.00  4.00  0.3732D-03  0.6061D-07
  4.00  5.00  0.2695D-03  0.4041D-07
  5.00  6.00  0.2077D-03  0.4569D-07
  6.00  7.00  0.1674D-03  0.3383D-07
  7.00  8.00  0.1394D-03  0.3331D-07
  8.00  9.00  0.1189D-03  0.2029D-07
  9.00 10.00  0.1034D-03  0.2292D-07
 10.00 12.00  0.1731D-03  0.3918D-07
 12.00 14.00  0.1413D-03  0.3493D-07
 14.00 16.00  0.1192D-03  0.3176D-07
