#
#  CIJET_MassBin-4200-8000_CT10nlo_15000_V-A+.xsc
#
#  CT10nlo.LHgrid   NLO
#  Lambda=  15000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   2.000   0.000   0.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.37453e-05      3.12137e-08        0.092      40
   2.0        3.0      2.06835e-05      3.07744e-08        0.149      43
   3.0        4.0      1.46426e-05      4.36487e-08        0.298      43
   4.0        5.0      1.09788e-05      2.35660e-08        0.215       8
   5.0        6.0      8.54333e-06      1.02099e-08        0.120      12
   6.0        7.0      6.86046e-06      2.75518e-08        0.402      13
   7.0        8.0      5.64177e-06      3.23372e-08        0.573      13
   8.0        9.0      4.69915e-06      1.44329e-08        0.307      13
   9.0       10.0      4.02375e-06      4.62997e-08        1.151      12
  10.0       12.0      3.20154e-06      1.97088e-08        0.616      13
  12.0       14.0      2.46823e-06      1.70289e-08        0.690      13
  14.0       16.0      1.97485e-06      1.91989e-08        0.972      13
