 Lambda=10000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.6889D-03  0.8077D-07
  2.00  3.00  0.2587D-03  0.4712D-07
  3.00  4.00  0.8612D-04  0.2563D-07
  4.00  5.00  0.5630D-05  0.1732D-07
  5.00  6.00 -0.3574D-04  0.1066D-07
  6.00  7.00 -0.5823D-04  0.1303D-07
  7.00  8.00 -0.7075D-04  0.1939D-07
  8.00  9.00 -0.7768D-04  0.1488D-07
  9.00 10.00 -0.8124D-04  0.1388D-07
 10.00 12.00 -0.1662D-03  0.3916D-07
 12.00 14.00 -0.1648D-03  0.3651D-07
 14.00 16.00 -0.1600D-03  0.3571D-07
