 Lambda= 6000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1100D-01  0.2909D-04
  2.00  3.00  0.5667D-02  0.2151D-04
  3.00  4.00  0.3515D-02  0.1666D-04
  4.00  5.00  0.2419D-02  0.1355D-04
  5.00  6.00  0.1777D-02  0.1156D-04
  6.00  7.00  0.1375D-02  0.1029D-04
  7.00  8.00  0.1085D-02  0.9213D-05
  8.00  9.00  0.8871D-03  0.8517D-05
  9.00 10.00  0.7351D-03  0.7903D-05
 10.00 12.00  0.1161D-02  0.1047D-04
 12.00 14.00  0.8797D-03  0.9461D-05
 14.00 16.00  0.7008D-03  0.8582D-05
