 Lambda= 7000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2607D-02  0.3406D-06
  2.00  3.00  0.1379D-02  0.1973D-06
  3.00  4.00  0.8826D-03  0.1164D-06
  4.00  5.00  0.6268D-03  0.1056D-06
  5.00  6.00  0.4756D-03  0.1419D-06
  6.00  7.00  0.3777D-03  0.7421D-07
  7.00  8.00  0.3102D-03  0.7163D-07
  8.00  9.00  0.2614D-03  0.6225D-07
  9.00 10.00  0.2248D-03  0.8034D-07
 10.00 12.00  0.3704D-03  0.8013D-07
 12.00 14.00  0.2967D-03  0.6986D-07
 14.00 16.00  0.2463D-03  0.5825D-07
