 Lambda= 5000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.3153D-01  0.3344D-05
  2.00  3.00  0.1650D-01  0.2851D-05
  3.00  4.00  0.1043D-01  0.1239D-05
  4.00  5.00  0.7314D-02  0.1379D-05
  5.00  6.00  0.5483D-02  0.9904D-06
  6.00  7.00  0.4305D-02  0.8247D-06
  7.00  8.00  0.3498D-02  0.7031D-06
  8.00  9.00  0.2918D-02  0.6692D-06
  9.00 10.00  0.2484D-02  0.5972D-06
 10.00 12.00  0.4040D-02  0.7758D-06
 12.00 14.00  0.3184D-02  0.6823D-06
 14.00 16.00  0.2604D-02  0.5669D-06
