 Lambda= 6000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1038D-01  0.9491D-06
  2.00  3.00  0.5047D-02  0.7684D-06
  3.00  4.00  0.2899D-02  0.4905D-06
  4.00  5.00  0.1827D-02  0.3614D-06
  5.00  6.00  0.1219D-02  0.2734D-06
  6.00  7.00  0.8438D-03  0.1543D-06
  7.00  8.00  0.5973D-03  0.1131D-06
  8.00  9.00  0.4277D-03  0.8027D-07
  9.00 10.00  0.3073D-03  0.6640D-07
 10.00 12.00  0.3719D-03  0.9216D-07
 12.00 14.00  0.1656D-03  0.5367D-07
 14.00 16.00  0.4050D-04  0.3887D-07
