 Lambda= 9000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.7160D-03  0.1643D-05
  2.00  3.00  0.3718D-03  0.1257D-05
  3.00  4.00  0.2329D-03  0.9677D-06
  4.00  5.00  0.1615D-03  0.8156D-06
  5.00  6.00  0.1197D-03  0.7014D-06
  6.00  7.00  0.9281D-04  0.6256D-06
  7.00  8.00  0.7449D-04  0.5736D-06
  8.00  9.00  0.6123D-04  0.5422D-06
  9.00 10.00  0.5115D-04  0.5126D-06
 10.00 12.00  0.8165D-04  0.6783D-06
 12.00 14.00  0.6161D-04  0.6292D-06
 14.00 16.00  0.4846D-04  0.5850D-06
