#
#  CIJET_MassBin-3600-4200_cteq66_8000_VV-.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   8000.00 GeV
#  cj/4pi(1-6) =  -1.000   0.000  -2.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      9.36930e-03      6.11094e-06        0.065      40
   2.0        3.0      4.96967e-03      4.90248e-06        0.099      43
   3.0        4.0      3.15719e-03      5.01073e-06        0.159      43
   4.0        5.0      2.20717e-03      1.33712e-06        0.061      12
   5.0        6.0      1.63942e-03      1.88092e-06        0.115      12
   6.0        7.0      1.26977e-03      2.24179e-06        0.177      13
   7.0        8.0      1.01538e-03      2.56705e-06        0.253      13
   8.0        9.0      8.30762e-04      1.59715e-06        0.192      13
   9.0       10.0      6.92800e-04      2.17907e-06        0.315      13
  10.0       12.0      5.46423e-04      1.38212e-06        0.253      13
  12.0       14.0      4.08400e-04      1.33542e-06        0.327      13
  14.0       16.0      3.18788e-04      7.75444e-07        0.243      13
