 Lambda= 7000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.5047D-02  0.4607D-06
  2.00  3.00  0.2390D-02  0.4122D-06
  3.00  4.00  0.1320D-02  0.2391D-06
  4.00  5.00  0.7907D-03  0.1835D-06
  5.00  6.00  0.4942D-03  0.1009D-06
  6.00  7.00  0.3137D-03  0.6572D-07
  7.00  8.00  0.1970D-03  0.3698D-07
  8.00  9.00  0.1183D-03  0.2841D-07
  9.00 10.00  0.6341D-04  0.2635D-07
 10.00 12.00  0.1935D-04  0.3339D-07
 12.00 14.00 -0.6822D-04  0.2403D-07
 14.00 16.00 -0.1180D-03  0.4390D-07
