 Lambda=13000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2123D-03  0.4641D-06
  2.00  3.00  0.1123D-03  0.3697D-06
  3.00  4.00  0.7153D-04  0.2976D-06
  4.00  5.00  0.5050D-04  0.2550D-06
  5.00  6.00  0.3809D-04  0.2255D-06
  6.00  7.00  0.2974D-04  0.2109D-06
  7.00  8.00  0.2416D-04  0.1998D-06
  8.00  9.00  0.2005D-04  0.1898D-06
  9.00 10.00  0.1692D-04  0.1781D-06
 10.00 12.00  0.2727D-04  0.2452D-06
 12.00 14.00  0.2110D-04  0.2332D-06
 14.00 16.00  0.1666D-04  0.2268D-06
