#
#  CIJET_MassBin-3000-3600_cteq66_13000_AA+.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=  13000.00 GeV
#  cj/4pi(1-6) =   1.000   0.000  -2.000   0.000   1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0     -1.02710e-04      3.42740e-06        3.337      16
   2.0        3.0     -1.51442e-04      3.69821e-06        2.442      36
   3.0        4.0     -1.67944e-04      3.84759e-06        2.291      43
   4.0        5.0     -1.65583e-04      3.20109e-06        1.933      12
   5.0        6.0     -1.54269e-04      2.52203e-06        1.635      13
   6.0        7.0     -1.41362e-04      3.35399e-06        2.373      13
   7.0        8.0     -1.25923e-04      2.63665e-06        2.094      13
   8.0        9.0     -1.14015e-04      3.13019e-06        2.745      13
   9.0       10.0     -1.03946e-04      2.19226e-06        2.109      13
  10.0       12.0     -8.52038e-05      1.62692e-06        1.909      13
  12.0       14.0     -6.74731e-05      1.64096e-06        2.432      13
  14.0       16.0     -5.41385e-05      1.68290e-06        3.109      13
