 Lambda=13000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.2157D-04  0.9938D-07
  2.00  3.00  0.5641D-05  0.5109D-07
  3.00  4.00 -0.3338D-06  0.3147D-07
  4.00  5.00 -0.2700D-05  0.3303D-07
  5.00  6.00 -0.3665D-05  0.4217D-07
  6.00  7.00 -0.4002D-05  0.5165D-07
  7.00  8.00 -0.3953D-05  0.5917D-07
  8.00  9.00 -0.3890D-05  0.6598D-07
  9.00 10.00 -0.3729D-05  0.7156D-07
 10.00 12.00 -0.6978D-05  0.1139D-06
 12.00 14.00 -0.6100D-05  0.1214D-06
 14.00 16.00 -0.5469D-05  0.1278D-06
