 Lambda= 5000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.7268D-02  0.8587D-06
  2.00  3.00  0.3637D-02  0.5812D-06
  3.00  4.00  0.2173D-02  0.4281D-06
  4.00  5.00  0.1434D-02  0.3008D-06
  5.00  6.00  0.1009D-02  0.2549D-06
  6.00  7.00  0.7428D-03  0.1193D-06
  7.00  8.00  0.5646D-03  0.1211D-06
  8.00  9.00  0.4399D-03  0.9896D-07
  9.00 10.00  0.3493D-03  0.8872D-07
 10.00 12.00  0.5114D-03  0.1290D-06
 12.00 14.00  0.3460D-03  0.7424D-07
 14.00 16.00  0.2404D-03  0.5429D-07
