 Lambda= 9000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.3878D-02  0.4367D-06
  2.00  3.00  0.2099D-02  0.3231D-06
  3.00  4.00  0.1380D-02  0.1726D-06
  4.00  5.00  0.1005D-02  0.1489D-06
  5.00  6.00  0.7807D-03  0.1127D-06
  6.00  7.00  0.6336D-03  0.7993D-07
  7.00  8.00  0.5308D-03  0.9338D-07
  8.00  9.00  0.4555D-03  0.1093D-06
  9.00 10.00  0.3982D-03  0.6503D-07
 10.00 12.00  0.6709D-03  0.1147D-06
 12.00 14.00  0.5518D-03  0.1366D-06
 14.00 16.00  0.4684D-03  0.8821D-07
