 Lambda=13000 GeV
 mass=[ 3000.00, 3600.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00 -0.5333D-03  0.1033D-05
  2.00  3.00 -0.3764D-03  0.1259D-05
  3.00  4.00 -0.3067D-03  0.1578D-05
  4.00  5.00 -0.2590D-03  0.1736D-05
  5.00  6.00 -0.2236D-03  0.1938D-05
  6.00  7.00 -0.1962D-03  0.2060D-05
  7.00  8.00 -0.1715D-03  0.2143D-05
  8.00  9.00 -0.1560D-03  0.2217D-05
  9.00 10.00 -0.1419D-03  0.2265D-05
 10.00 12.00 -0.2474D-03  0.3420D-05
 12.00 14.00 -0.2106D-03  0.3458D-05
 14.00 16.00 -0.1763D-03  0.3580D-05
