 Lambda=12000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.8583D-04  0.1319D-07
  2.00  3.00  0.2919D-04  0.5903D-08
  3.00  4.00  0.6470D-05  0.4260D-08
  4.00  5.00 -0.3970D-05  0.3131D-08
  5.00  6.00 -0.9203D-05  0.2299D-08
  6.00  7.00 -0.1194D-04  0.2277D-08
  7.00  8.00 -0.1338D-04  0.3596D-08
  8.00  9.00 -0.1409D-04  0.3941D-08
  9.00 10.00 -0.1439D-04  0.3248D-08
 10.00 12.00 -0.2878D-04  0.8580D-08
 12.00 14.00 -0.2804D-04  0.6545D-08
 14.00 16.00 -0.2696D-04  0.7960D-08
