 Lambda=13000 GeV
 mass=[ 3600.00, 4200.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00 -0.6467D-05  0.2393D-07
  2.00  3.00 -0.5870D-04  0.1250D-07
  3.00  4.00 -0.7917D-04  0.1581D-07
  4.00  5.00 -0.8529D-04  0.1208D-07
  5.00  6.00 -0.8565D-04  0.1801D-07
  6.00  7.00 -0.8364D-04  0.1989D-07
  7.00  8.00 -0.8070D-04  0.1628D-07
  8.00  9.00 -0.7733D-04  0.1542D-07
  9.00 10.00 -0.7420D-04  0.1607D-07
 10.00 12.00 -0.1391D-03  0.3080D-07
 12.00 14.00 -0.1280D-03  0.3186D-07
 14.00 16.00 -0.1184D-03  0.2936D-07
