 Lambda=11000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.5417D-03  0.7925D-07
  2.00  3.00  0.2950D-03  0.4272D-07
  3.00  4.00  0.1953D-03  0.4195D-07
  4.00  5.00  0.1432D-03  0.3113D-07
  5.00  6.00  0.1119D-03  0.2932D-07
  6.00  7.00  0.9136D-04  0.1684D-07
  7.00  8.00  0.7693D-04  0.2363D-07
  8.00  9.00  0.6631D-04  0.1212D-07
  9.00 10.00  0.5817D-04  0.1256D-07
 10.00 12.00  0.9861D-04  0.2079D-07
 12.00 14.00  0.8163D-04  0.1871D-07
 14.00 16.00  0.6971D-04  0.1575D-07
