 Lambda=11000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.1580D-03  0.2315D-07
  2.00  3.00  0.6337D-04  0.1163D-07
  3.00  4.00  0.2532D-04  0.6075D-08
  4.00  5.00  0.7297D-05  0.3678D-08
  5.00  6.00 -0.2186D-05  0.3341D-08
  6.00  7.00 -0.7516D-05  0.2510D-08
  7.00  8.00 -0.1063D-04  0.2914D-08
  8.00  9.00 -0.1246D-04  0.3505D-08
  9.00 10.00 -0.1356D-04  0.4907D-08
 10.00 12.00 -0.2866D-04  0.6667D-08
 12.00 14.00 -0.2919D-04  0.5436D-08
 14.00 16.00 -0.2879D-04  0.5688D-08
