 Lambda= 9000 GeV
 mass=[ 4200.00, 8000.00 ] GeV
  chid  chiu  xsec(pb)    error(pb)
  1.00  2.00  0.3120D-03  0.8610D-06
  2.00  3.00  0.1463D-03  0.5706D-06
  3.00  4.00  0.8044D-04  0.3650D-06
  4.00  5.00  0.4860D-04  0.2346D-06
  5.00  6.00  0.3123D-04  0.1569D-06
  6.00  7.00  0.2108D-04  0.1150D-06
  7.00  8.00  0.1440D-04  0.9158D-07
  8.00  9.00  0.1010D-04  0.7887D-07
  9.00 10.00  0.7111D-05  0.7332D-07
 10.00 12.00  0.8666D-05  0.1121D-06
 12.00 14.00  0.4135D-05  0.1401D-06
 14.00 16.00  0.1540D-05  0.1658D-06
