#
#  CIJET_MassBin-3000-3600_cteq66_6000_RR-.xsc
#
#  cteq66.LHgrid   NLO
#  Lambda=   6000.00 GeV
#  cj/4pi(1-6) =   0.000   0.000   0.000   0.000  -1.000   0.000
#
# Chi_low    Chi_upp   xsec[pb]         error[pb]        error[%]     N_jobs
   1.0        2.0      3.79344e-02      2.27944e-05        0.060      16
   2.0        3.0      1.96197e-02      2.27390e-05        0.116      36
   3.0        4.0      1.21984e-02      1.63198e-05        0.134      43
   4.0        5.0      8.40442e-03      1.26739e-05        0.151      12
   5.0        6.0      6.17038e-03      9.35894e-06        0.152      13
   6.0        7.0      4.73915e-03      1.48203e-05        0.313      13
   7.0        8.0      3.76562e-03      1.11396e-05        0.296      13
   8.0        9.0      3.06977e-03      7.73686e-06        0.252      13
   9.0       10.0      2.55969e-03      7.80368e-06        0.305      13
  10.0       12.0      2.00646e-03      5.80396e-06        0.289      13
  12.0       14.0      1.50515e-03      4.58887e-06        0.305      13
  14.0       16.0      1.17235e-03      5.90333e-06        0.504      13
